Item,Specification,Price
"MEASURING CYLINDER","1000ML","2000.00"
"MEASURING CYLINDER GLASS","5ML","150.00"
"MEASURING CYLINDER GLASS","10ML","160.00"
"MEASURING CYLINDER GLASS","25ML","250.00"
"MEASURING CYLINDER GLASS","50ML","280.00"
"MEASURING CYLINDER GLASS","100ML","600.00"
"MEASURING CYLINDER GLASS","250ML","700.00"
"MEASURING CYLINDER GLASS","500ML","1100.00"
"MEASURING CYLINDER GLASS","1000ML","1700.00"
"MEASURING CYLINDER GLASS","2000ML","2500.00"
"MEASURING CYLINDER SIMAX","10ML","600.00"
"MEASURING CYLINDER SIMAX","25ML","700.00"
"MEASURING CYLINDER SIMAX","50ML","800.00"
"MEASURING CYLINDER SIMAX","100ML","900.00"
"MEASURING CYLINDER SIMAX","250ML","1000.00"
"MEASURING CYLINDER SIMAX","500ML","1700.00"
"MEASURING CYLINDER SIMAX","1000ML","2100.00"
"MEASURING CYLINDER BROLAB","50ML","400.00"
"MEASURING CYLINDER BROLAB","250ML","600.00"
"MEASURING CYLINDER BROLAB","1000ML","2000.00"
"MEASURING CYLINDER MORBANK","50ML","500.00"
"MEASURING CYLINDER MORBANK","500ML","1500.00"
"MEASURING CYLINDER PLASTIC","10ML","100.00"
"MEASURING CYLINDER PLASTIC","25ML","245.00"
"MEASURING CYLINDER PLASTIC","50ML","265.00"
"MEASURING CYLINDER PLASTIC","100ML","370.00"
"MEASURING CYLINDER PLASTIC","250ML","450.00"
"MEASURING CYLINDER PLASTIC","500ML","1074.00"
"MEASURING CYLINDER PLASTIC","1000ML","1590.00"
"MEASURING CYLINDER PLASTIC","2000ML","2520.00"
"MEDIA CULTURE BOTTLE BOROSIL","250ML","500.00"
"METAL CUBES SET OF MIX","","1500.00"
"METER BRIDGE","","3500.00"
"METER RULE SUPERTEK","HALF","250.00"
"METER RULE SUPERTEK","","380.00"
"METER RULE REGULAR","HALF","200.00"
"METER RULE REGULAR","","300.00"
"MICROMETER SCREW GAUGE","","750.00"
"MICROSCOPE","STUDENT","9120.00"
"MICROSCOPE","BINOCULAR","45000.00"
"MICROSCOPE","TRAVELLING","12000.00"
"MICROSCOPE","DISSECTING","3000.00"
"MICROSCOPE BULB","HALOGEN","1500.00"
"MICROSCOPE BULB","SCREW TYPE","475.00"
"MICROSCOPE CONDENSOR","","1650.00"
"MICROSCOPE COVER SLIP","22X22","150.00"
"MICROSCOPE COVER SLIP","24X42","250.00"
"MICROSCOPE EYE PIECE","","2500.00"
"MICROSCOPE LAMP","","3500.00"
"MICROSCOPE MECHANICAL STAGE","","4000.00"
"MICROSCOPE MIRROR","","1050.00"
"MICROSCOPE MIRROR HOLDER","","275.00"
"MICROSCOPE OBJECTIVE","X4 X10 X40","1800.00"
"MICROSCOPE OBJECTIVE","X100","9000.00"
"MICROSCOPE PREPARED SLIDES","","200.00"
"MICROSCOPE SLIDE BOX","100","1070.00"
"MICROSCOPE SLIDES","","250.00"
"MICROSCOPESTAGE CLIPS","PAIR","650.00"
"MICROSCOPE HAND TYPE","","3120.00"
"MILLIE AMMETER","0 – 1 mA","1200.00"
"MILLIE AMMETER","0 – 100 mA","1200.00"
"MODEL KINETIC THEORY","","8000.00"
"MODEL DIESEL ENGINE","","8000.00"
"MODEL PETROL ENGINE","","8000.00"
"MODEL STEAM ENGINE","","8000.00"
"MODELS BRAIN/EAR/EYE/HEART/SKULL/KIDNEY/TEETH","","1500.00"
"MODELS DIGESTIVE","","2000.00"
"MORTAR AND PESTLE","3”","550.00"
"MORTAR AND PESTLE","4”","630.00"
"MORTAR AND PESTLE","5”","810.00"
"MORTAR AND PESTLE","6”","915.00"
"MORTAR AND PESTLE","8”","1000.00"
